                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.42539,                0.36962,                0.86168,                0.99872,                      1,                  0.995,                0.93647,                0.38729,                0.31521,                0.84582,              0.0012872,              0.0012872,              0.0012872
                     38,                0.42553,                0.35132,                0.87283,                0.99862,                      1,                  0.995,                0.92139,                0.40701,                0.32682,                0.85622,              0.0012674,              0.0012674,              0.0012674
                     39,                0.42919,                0.35042,                 0.8764,                0.99889,                      1,                  0.995,                0.91153,                0.41452,                0.30328,                0.86587,              0.0012476,              0.0012476,              0.0012476
                     40,                0.42349,                0.34453,                0.86355,                0.99885,                      1,                  0.995,                0.92307,                0.40916,                0.28592,                0.86318,              0.0012278,              0.0012278,              0.0012278
                     41,                0.41839,                0.35298,                 0.8639,                0.99887,                      1,                  0.995,                   0.93,                0.37569,                0.27982,                0.85806,               0.001208,               0.001208,               0.001208
                     42,                0.43429,                 0.3461,                0.86717,                0.99881,                      1,                  0.995,                0.93766,                0.37467,                0.28959,                0.85202,              0.0011882,              0.0011882,              0.0011882
                     43,                0.42824,                0.35524,                0.86335,                0.99879,                      1,                  0.995,                0.93745,                0.38068,                0.28278,                0.86089,              0.0011684,              0.0011684,              0.0011684
                     44,                0.42297,                0.36098,                0.86327,                0.99893,                      1,                  0.995,                 0.9573,                0.35349,                0.27418,                0.86575,              0.0011486,              0.0011486,              0.0011486
                     45,                0.41327,                0.35004,                0.85998,                0.99885,                      1,                  0.995,                0.94159,                0.39803,                0.28893,                0.86733,              0.0011288,              0.0011288,              0.0011288
                     46,                0.43222,                 0.3508,                0.86915,                  0.999,                      1,                  0.995,                0.93743,                0.42576,                0.31145,                0.85197,               0.001109,               0.001109,               0.001109
                     47,                0.42592,                0.33761,                  0.864,                0.99862,                      1,                  0.995,                0.93151,                0.38546,                0.28192,                0.86565,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.4084,                0.32994,                0.85235,                0.99874,                      1,                  0.995,                0.92722,                 0.3816,                0.28765,                0.86209,              0.0010694,              0.0010694,              0.0010694
                     49,                0.39449,                0.33066,                0.85226,                0.98121,                      1,                0.99446,                0.94641,                0.36879,                0.28081,                0.84924,              0.0010496,              0.0010496,              0.0010496
                     50,                0.40054,                0.33083,                0.86448,                0.99869,                      1,                  0.995,                0.94574,                0.33942,                0.27006,                0.83645,              0.0010298,              0.0010298,              0.0010298
                     51,                0.40932,                0.34403,                0.86466,                0.99885,                      1,                  0.995,                0.93642,                0.34764,                0.27447,                0.85487,                0.00101,                0.00101,                0.00101
                     52,                0.40676,                0.32398,                0.85754,                0.99892,                      1,                  0.995,                0.93777,                0.37569,                0.26435,                0.87546,              0.0009902,              0.0009902,              0.0009902
                     53,                0.39686,                0.31707,                0.85496,                0.98176,                      1,                  0.995,                0.95524,                0.31761,                0.26321,                0.83247,              0.0009704,              0.0009704,              0.0009704
                     54,                0.39252,                0.32804,                0.85864,                0.99889,                      1,                  0.995,                0.95193,                0.34081,                0.25738,                0.83984,              0.0009506,              0.0009506,              0.0009506
                     55,                0.38396,                0.32815,                  0.847,                0.98133,                      1,                  0.995,                0.95705,                 0.3407,                0.26318,                0.83386,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.3756,                0.30564,                 0.8497,                 0.9989,                      1,                  0.995,                0.94521,                0.35654,                0.26227,                0.84702,               0.000911,               0.000911,               0.000911
                     57,                0.36956,                0.30099,                0.84756,                0.99868,                      1,                  0.995,                0.94457,                0.34558,                0.26268,                0.86205,              0.0008912,              0.0008912,              0.0008912
                     58,                0.38173,                0.30495,                 0.8636,                0.99894,                      1,                  0.995,                0.94026,                0.38906,                0.26089,                0.86606,              0.0008714,              0.0008714,              0.0008714
                     59,                0.36889,                0.30242,                0.84651,                0.99897,                      1,                  0.995,                0.96135,                0.32847,                0.25152,                0.85545,              0.0008516,              0.0008516,              0.0008516
                     60,                0.36277,                0.30034,                0.84415,                0.99899,                      1,                  0.995,                0.96756,                0.31842,                0.24399,                0.83475,              0.0008318,              0.0008318,              0.0008318
                     61,                0.36453,                0.29597,                0.85698,                0.99894,                      1,                  0.995,                0.96829,                0.32094,                0.24145,                0.85086,               0.000812,               0.000812,               0.000812
                     62,                 0.3709,                0.29435,                0.84775,                0.99899,                      1,                  0.995,                0.95849,                0.35678,                0.23165,                0.85421,              0.0007922,              0.0007922,              0.0007922
                     63,                0.38223,                0.28406,                  0.842,                0.99885,                      1,                  0.995,                 0.9564,                0.37348,                0.24082,                0.85616,              0.0007724,              0.0007724,              0.0007724
                     64,                0.36966,                  0.287,                0.84743,                0.99875,                      1,                  0.995,                0.95455,                  0.361,                0.23406,                 0.8606,              0.0007526,              0.0007526,              0.0007526
                     65,                0.35475,                0.28214,                0.84502,                0.99884,                      1,                  0.995,                0.96292,                0.33941,                0.23454,                0.85318,              0.0007328,              0.0007328,              0.0007328
                     66,                0.34173,                0.28032,                0.85369,                0.99879,                      1,                  0.995,                0.95933,                0.31362,                0.23183,                0.85289,               0.000713,               0.000713,               0.000713
                     67,                0.35141,                 0.2727,                0.84971,                0.99895,                      1,                  0.995,                 0.9633,                0.31847,                0.22053,                0.85209,              0.0006932,              0.0006932,              0.0006932
                     68,                0.35196,                0.28324,                0.85106,                0.99898,                      1,                  0.995,                0.96148,                0.33142,                0.23056,                0.85311,              0.0006734,              0.0006734,              0.0006734
                     69,                0.34217,                0.28049,                0.84073,                0.99899,                      1,                  0.995,                0.96232,                0.31111,                0.23008,                0.85192,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.3255,                0.27227,                 0.8439,                0.99901,                      1,                  0.995,                0.97518,                0.31668,                0.21676,                0.84439,              0.0006338,              0.0006338,              0.0006338
                     71,                0.33131,                0.26448,                0.85238,                0.99899,                      1,                  0.995,                 0.9648,                0.30213,                0.22389,                0.84507,               0.000614,               0.000614,               0.000614
                     72,                0.36337,                0.27925,                0.85192,                0.99896,                      1,                  0.995,                0.96756,                0.31579,                0.22481,                0.85243,              0.0005942,              0.0005942,              0.0005942
                     73,                0.33883,                0.27275,                0.84679,                0.99877,                      1,                  0.995,                0.96879,                0.31129,                0.22748,                0.85484,              0.0005744,              0.0005744,              0.0005744
                     74,                0.32894,                0.26958,                0.85145,                0.99693,                      1,                  0.995,                0.97139,                0.29766,                0.21275,                0.84872,              0.0005546,              0.0005546,              0.0005546
                     75,                0.32108,                 0.2581,                0.83384,                0.99861,                      1,                  0.995,                0.97156,                0.29252,                0.22045,                0.83989,              0.0005348,              0.0005348,              0.0005348
                     76,                0.32776,                0.26346,                0.84126,                0.99887,                      1,                  0.995,                0.95649,                0.31419,                0.22735,                0.84228,               0.000515,               0.000515,               0.000515
                     77,                0.33065,                0.26484,                0.84099,                0.99898,                      1,                  0.995,                0.96675,                0.29005,                0.21202,                0.83582,              0.0004952,              0.0004952,              0.0004952
